HEADER[~&~	~&~EMPLID::VARCHAR~&~	~&~VER_NBR::DECIMAL~&~	~&~PERSON_NM::VARCHAR~&~	~&~SETID_SALARY::VARCHAR~&~	~&~SAL_ADMIN_PLAN::VARCHAR~&~	~&~GRADE::VARCHAR~&~	~&~IU_CLASSIF_LEVEL::VARCHAR~&~	~&~ACTV_IND::VARCHAR~&~	~&~]HEADER
RECORD[~&~	~&~'0000000294'~&~	~&~'1'~&~	~&~'BAUM,ROBBIE U'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000303'~&~	~&~'1'~&~	~&~'DRUMM,RODRICK C'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000304'~&~	~&~'1'~&~	~&~'KINARD,DALTON N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000305'~&~	~&~'1'~&~	~&~'BOSCO,VITO K'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000307'~&~	~&~'1'~&~	~&~'GERARD,VALARIE J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000308'~&~	~&~'1'~&~	~&~'SUTTLE,JARRETT N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000330'~&~	~&~'1'~&~	~&~'TELLES,NOLAN W'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000331'~&~	~&~'1'~&~	~&~'ROMINE,JOEY U'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000335'~&~	~&~'1'~&~	~&~'MCGINTY,ELIJAH M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000336'~&~	~&~'1'~&~	~&~'CANTU,EVERETT E'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000337'~&~	~&~'1'~&~	~&~'CRUZ,LINA T'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000338'~&~	~&~'1'~&~	~&~'FORTIN,VAUGHN M'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000355'~&~	~&~'1'~&~	~&~'CANADAY,ELVIA S'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000356'~&~	~&~'1'~&~	~&~'LAFRENIERE,ARMANDO L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000357'~&~	~&~'1'~&~	~&~'FENSKE,TY P'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000361'~&~	~&~'1'~&~	~&~'GRIMM,BRETT F'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000362'~&~	~&~'1'~&~	~&~'LAVALLEY,LOGAN X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000363'~&~	~&~'1'~&~	~&~'ALBERTSON,ALFRED W'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000365'~&~	~&~'1'~&~	~&~'BRAY,ISABELLA Q'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000366'~&~	~&~'1'~&~	~&~'MERTZ,CARMELLA C'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000367'~&~	~&~'1'~&~	~&~'KIRKWOOD,MILAGROS F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000379'~&~	~&~'1'~&~	~&~'PROPST,ROBIN J'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000380'~&~	~&~'1'~&~	~&~'LAJOIE,JOSEFINA Z'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000381'~&~	~&~'1'~&~	~&~'EGGLESTON,SANTIAGO D'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000383'~&~	~&~'1'~&~	~&~'CURREY,AGUSTIN P'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000384'~&~	~&~'1'~&~	~&~'RUSHING,LATONYA Y'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000399'~&~	~&~'1'~&~	~&~'TOLEDO,MASON E'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000400'~&~	~&~'1'~&~	~&~'CROSSON,HUNTER D'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000401'~&~	~&~'1'~&~	~&~'RHINEHART,WENDI Z'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000402'~&~	~&~'1'~&~	~&~'SATTERFIELD,BEVERLY Z'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000416'~&~	~&~'1'~&~	~&~'RADER,KAY N'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000417'~&~	~&~'1'~&~	~&~'RANDALL,BRIANA O'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000418'~&~	~&~'1'~&~	~&~'ATENCIO,HENRIETTA X'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000419'~&~	~&~'1'~&~	~&~'LOY,PASQUALE L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000420'~&~	~&~'1'~&~	~&~'OLIVERA,HOLLY H'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000421'~&~	~&~'1'~&~	~&~'LANDRUM,TOD Y'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000425'~&~	~&~'1'~&~	~&~'OXLEY,SCOTTIE V'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000427'~&~	~&~'1'~&~	~&~'BURROUGHS,ELVA B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000429'~&~	~&~'1'~&~	~&~'WINCHELL,WALDO S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000431'~&~	~&~'1'~&~	~&~'COWAN,LOLITA B'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000433'~&~	~&~'1'~&~	~&~'MCHENRY,DEANNE J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000436'~&~	~&~'1'~&~	~&~'STRINGFELLOW,MYLES B'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000438'~&~	~&~'1'~&~	~&~'ICKES,RODRICK B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000440'~&~	~&~'1'~&~	~&~'ALEXANDER,SHARI Z'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000482'~&~	~&~'1'~&~	~&~'QUEVEDO,MORGAN Q'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000484'~&~	~&~'1'~&~	~&~'EPPS,HALEY T'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000493'~&~	~&~'1'~&~	~&~'RUNION,ADOLPH U'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000495'~&~	~&~'1'~&~	~&~'SELMAN,SONJA J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000511'~&~	~&~'1'~&~	~&~'REIMER,DESMOND E'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000513'~&~	~&~'1'~&~	~&~'NOVOTNY,EDMOND J'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000569'~&~	~&~'1'~&~	~&~'SHERRY,INES N'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000581'~&~	~&~'1'~&~	~&~'ASHLEY,EDWINA H'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000583'~&~	~&~'1'~&~	~&~'MARKHAM,KEISHA X'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000613'~&~	~&~'1'~&~	~&~'YEH,STEFAN J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000615'~&~	~&~'1'~&~	~&~'LIND,LUCIEN Q'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000620'~&~	~&~'1'~&~	~&~'DAHLBERG,PEARLIE H'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000622'~&~	~&~'1'~&~	~&~'FRISCH,BEN D'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000644'~&~	~&~'1'~&~	~&~'LOZANO,PATRICK K'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000646'~&~	~&~'1'~&~	~&~'BRUMFIELD,NICOLAS S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000665'~&~	~&~'1'~&~	~&~'KENDALL,BEATRICE F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000667'~&~	~&~'1'~&~	~&~'DETWILER,ALANA S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000671'~&~	~&~'1'~&~	~&~'OKELLEY,MALINDA B'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000673'~&~	~&~'1'~&~	~&~'PFISTER,RANDI Q'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000674'~&~	~&~'1'~&~	~&~'SCHEXNAYDER,HELGA N'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000676'~&~	~&~'1'~&~	~&~'DOOLITTLE,YOLANDA L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000686'~&~	~&~'1'~&~	~&~'IVES,FLORENCE B'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000688'~&~	~&~'1'~&~	~&~'MARCH,SHELTON O'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000740'~&~	~&~'1'~&~	~&~'ATWATER,BARNEY U'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000742'~&~	~&~'1'~&~	~&~'STRAND,TERRIE S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000758'~&~	~&~'1'~&~	~&~'SAND,JERROD E'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000760'~&~	~&~'1'~&~	~&~'DICARLO,TERRI T'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000780'~&~	~&~'1'~&~	~&~'KISH,RALPH R'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000782'~&~	~&~'1'~&~	~&~'GALINDO,BRENTON R'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000788'~&~	~&~'1'~&~	~&~'CLARKE,JAMES F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000817'~&~	~&~'1'~&~	~&~'THEISEN,BRIANNA T'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000842'~&~	~&~'1'~&~	~&~'LUCIA,JOAN Z'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000844'~&~	~&~'1'~&~	~&~'RANDOLPH,ALMA A'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000846'~&~	~&~'1'~&~	~&~'CHAUVIN,ADAN X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000848'~&~	~&~'1'~&~	~&~'GALVEZ,SAMMY G'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000850'~&~	~&~'1'~&~	~&~'POLLOCK,MERCEDES M'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000856'~&~	~&~'1'~&~	~&~'SHANK,MARTY S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000858'~&~	~&~'1'~&~	~&~'CRUZ,MARJORIE C'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000884'~&~	~&~'1'~&~	~&~'DODGE,DALTON A'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000886'~&~	~&~'1'~&~	~&~'HYDE,KAITLIN A'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000892'~&~	~&~'1'~&~	~&~'HINKLEY,COREY S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000894'~&~	~&~'1'~&~	~&~'YANEZ,KEITH X'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000926'~&~	~&~'1'~&~	~&~'NADEAU,DEANNA G'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000928'~&~	~&~'1'~&~	~&~'GARY,PATRICE B'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000943'~&~	~&~'1'~&~	~&~'JORGE,KRISTOPHER S'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000000945'~&~	~&~'1'~&~	~&~'SCARBROUGH,FERNANDO Q'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001015'~&~	~&~'1'~&~	~&~'YEPEZ,JANETTE J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001017'~&~	~&~'1'~&~	~&~'WINSTEAD,GINO G'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001030'~&~	~&~'1'~&~	~&~'SHAFER,JIMMIE G'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001032'~&~	~&~'1'~&~	~&~'CARBONE,HOLLIE W'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001074'~&~	~&~'1'~&~	~&~'KENNEDY,DOYLE R'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001076'~&~	~&~'1'~&~	~&~'FISHER,LIZZIE D'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001089'~&~	~&~'1'~&~	~&~'NYGAARD,RUTH V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001091'~&~	~&~'1'~&~	~&~'DAWKINS,BERYL T'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001163'~&~	~&~'1'~&~	~&~'MADDOX,CHAD O'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001165'~&~	~&~'1'~&~	~&~'JUAREZ,ROSARIO M'~&~	~&~'IUBLA'~&~	~&~'PAE'~&~	~&~'10'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001176'~&~	~&~'1'~&~	~&~'KNAPP,SASHA M'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001180'~&~	~&~'1'~&~	~&~'MCCLINTON,PAT J'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001212'~&~	~&~'1'~&~	~&~'FOGEL,MARGUERITE E'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0A'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001216'~&~	~&~'1'~&~	~&~'RAGLAND,TRINA F'~&~	~&~'IUBLA'~&~	~&~'SS'~&~	~&~'0D'~&~	~&~'-'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001226'~&~	~&~'1'~&~	~&~'BOWES,ERNIE D'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001227'~&~	~&~'1'~&~	~&~'DEVAULT,LEON J'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001229'~&~	~&~'1'~&~	~&~'BATCHELOR,COLEEN U'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001230'~&~	~&~'1'~&~	~&~'TROTTER,DEVON V'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001231'~&~	~&~'1'~&~	~&~'WOLF,JUSTIN H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001233'~&~	~&~'1'~&~	~&~'HINES,MATT W'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001234'~&~	~&~'1'~&~	~&~'ORTON,SHEENA Y'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001235'~&~	~&~'1'~&~	~&~'FREITAS,KELSEY Z'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001239'~&~	~&~'1'~&~	~&~'MOTTA,TAD H'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
RECORD[~&~	~&~'0000001240'~&~	~&~'1'~&~	~&~'VOELKER,LAMONT L'~&~	~&~'IUBLA'~&~	~&~'AC1'~&~	~&~'AAM'~&~	~&~'PR'~&~	~&~'Y'~&~	~&~]RECORD
